STT	type	tên gi?ng loài	tu?i th? trung bình	cân n?ng trung bình	chi?u cao trung bình	chi?u dài trung bình	cách ch?m	giá có gi?y t?	giá không gi?y t?	giá qu?c t?	score_energy	score_space	score_grooming	score_kid_friendly	score_size	size_index
28	Dog	staffordshire_bullterrier	12 n?m - 14 n?m 	11 – 17 kg	36 – 41 cm	45 – 55 cm	"Staffordshire Bull Terrier, th??ng g?i t?t là Staffy, là gi?ng chó có ngu?n g?c t? Anh, n?i ti?ng v?i s? m?nh m?, d?ng c?m nh?ng l?i c?c k? tình c?m và g?n bó v?i gia ?ình. Dù ngo?i hình c? b?p khi?n nhi?u ng??i ngh? r?ng chúng hung d?, nh?ng th?c t? Staffy r?t hi?n lành, trung thành và ??c bi?t thân thi?n v?i tr? em, ??n m?c chúng còn ???c m?nh danh là “chó trông tr?” (nanny dog).  
  
?? nuôi d??ng m?t Staffordshire Bull Terrier kh?e m?nh, b?n c?n chú tr?ng ??n vi?c v?n ??ng th??ng xuyên. ?ây là gi?ng chó n?ng l??ng cao, thích ch?y nh?y, ch?i kéo co ho?c tham gia các trò ch?i v?n ??ng m?nh. Các bu?i d?o ch?i dài k?t h?p hu?n luy?n c? b?n s? giúp chúng gi?i phóng n?ng l??ng và gi? tinh th?n tho?i mái. N?u không ???c t?p luy?n ??y ??, Staffy có th? tr? nên bu?n chán và phá phách.  
  
B? lông c?a Staffy ng?n, bóng và r?t d? ch?m sóc. B?n ch? c?n ch?i lông m?t l?n m?i tu?n ?? lo?i b? b?i b?n và lông r?ng. Vi?c t?m ??nh k?, v? sinh tai, r?ng và c?t móng th??ng xuyên s? giúp duy trì s?c kh?e t?ng th?. Do d? b? d? ?ng da, b?n nên ch?n s?a t?m d?u nh? và theo dõi ch? ?? ?n ?? tránh các tác nhân gây kích ?ng.  
  
Ch? ?? dinh d??ng c?n cân b?ng gi?a protein ch?t l??ng cao t? th?t n?c, cá và tr?ng, k?t h?p v?i rau c? ?? b? sung ch?t x? và vitamin. Staffordshire Bull Terrier có xu h??ng d? t?ng cân n?u ?n quá nhi?u, vì v?y b?n c?n ki?m soát kh?u ph?n ?n và h?n ch? ?? ?n v?t không lành m?nh.  
  
V? s?c kh?e, ngoài lo?n s?n x??ng hông, Staffy còn d? m?c các b?nh v? m?t (nh? ??c th?y tinh th?) và m?t s? v?n ?? di truy?n khác. Do ?ó, vi?c ki?m tra s?c kh?e ??nh k? và tuân th? l?ch tiêm phòng là ?i?u c?n thi?t.  
  
Staffordshire Bull Terrier là l?a ch?n tuy?t v?i cho nh?ng gia ?ình n?ng ??ng, yêu thích v?n ??ng ngoài tr?i và mong mu?n có m?t chú chó v?a m?nh m? v?a tình c?m. V?i s? ch?m sóc ?úng cách, Staffy s? tr? thành m?t ng??i b?n ??ng hành trung thành, thông minh và tràn ??y n?ng l??ng."	35 – 60 tri?u VN?	15 – 25 tri?u VN?	2000 – 4500 USD	4	4	1	5	small	0.758580007
29	Dog	american_staffordshire_terrier	12 n?m – 16 n?m	18 – 32 kg	43 – 48 cm	55 – 65 cm	"American Staffordshire Terrier, th??ng g?i t?t là AmStaff, là gi?ng chó có ngu?n g?c t? Hoa K?, ???c phát tri?n t? Staffordshire Bull Terrier c?a Anh. Khác v?i ?n t??ng b? ngoài m?nh m? và c? b?p, AmStaff l?i có tính cách ?i?m ??m, trung thành và r?t g?n bó v?i ch? nhân. Chúng là nh?ng chú chó thông minh, c?nh giác và giàu tình c?m, th??ng t? ra d?u dàng v?i tr? nh? và t?n t?y v?i gia ?ình.  
  
AmStaff là gi?ng chó c?n v?n ??ng th??ng xuyên và có kh? n?ng ch?u ??ng t?t các ho?t ??ng m?nh. Vi?c cho chúng tham gia ch?y b?, ch?i kéo co, d?o dài ho?c hu?n luy?n agility s? giúp duy trì th? ch?t và gi?i phóng n?ng l??ng. N?u b? b? m?c lâu ngày ho?c không ???c t?p luy?n ??y ??, AmStaff d? sinh ra s? bu?n chán và có th? phá phách trong nhà. Vì v?y, gi?ng chó này phù h?p nh?t v?i nh?ng ng??i ch? n?ng ??ng, có th?i gian ??ng hành cùng chúng.  
  
B? lông c?a AmStaff ng?n, m??t và d? ch?m sóc. B?n ch? c?n ch?i 1 – 2 l?n m?i tu?n ?? gi? lông bóng kh?e và gi?m lông r?ng. Bên c?nh ?ó, vi?c v? sinh tai, c?t móng và ?ánh r?ng ??nh k? c?ng r?t quan tr?ng ?? gi? gìn v? sinh t?ng th?. Gi?ng chó này khá nh?y c?m v?i th?i ti?t l?nh, vì v?y khi tr?i rét c?n gi? ?m b?ng áo khoác ho?c h?n ch? ?? ngoài tr?i quá lâu.  
  
Ch? ?? dinh d??ng cho AmStaff c?n giàu protein t? th?t n?c, cá và tr?ng, k?t h?p cùng rau c? qu? ?? b? sung vitamin và ch?t x?. Do có th? d? b? t?ng cân, kh?u ph?n ?n nên ???c chia h?p lý, h?n ch? ?? ?n nhi?u ch?t béo và b? sung thêm th?c ph?m h? tr? x??ng kh?p.  
  
V? s?c kh?e, AmStaff có th? g?p m?t s? v?n ?? di truy?n nh? lo?n s?n x??ng hông, d? ?ng da và b?nh v? tim. Vi?c ??a ?i ki?m tra thú y ??nh k?, tiêm phòng ??y ?? và duy trì ch? ?? dinh d??ng cân b?ng s? giúp kéo dài tu?i th? và duy trì s?c kh?e ?n ??nh cho chúng."	40 – 70 tri?u VN?	18 – 30 tri?u VN?	2500 – 5000 USD	2	1	1	4	medium	1.068348592
30	Dog	bedlington_terrier	12 n?m – 16 n?m	8 – 10 kg	38 – 44 cm	45 – 55 cm	"Bedlington Terrier là gi?ng chó có ngu?n g?c t? Anh, n?i b?t v?i ngo?i hình ??c ?áo, trông gi?ng nh? m?t chú c?u nh? nh? b? lông xo?n m?m và dáng ??u ??c tr?ng. ??ng sau v? ngoài hi?n lành ?y l?i là m?t gi?ng chó nhanh nh?n, d?ng c?m, t?ng ???c dùng ?? s?n chu?t và th?. Tính cách c?a Bedlington Terrier thân thi?n, ho?t bát, trung thành và th??ng g?n bó sâu s?c v?i gia ?ình, phù h?p làm thú c?ng trong nhà.  
  
?? nuôi d??ng Bedlington Terrier kh?e m?nh, b?n c?n ??m b?o cho chúng ???c v?n ??ng th??ng xuyên. Chúng thích ch?y nh?y, ch?i ?ùa và ??c bi?t gi?i trong các ho?t ??ng ?òi h?i s? nhanh nh?n. Nh?ng bu?i ?i d?o dài, trò ch?i ?u?i b?t ho?c luy?n t?p agility là l?a ch?n phù h?p ?? gi? tinh th?n và th? ch?t c?a chúng luôn ?n ??nh. N?u không ???c gi?i phóng n?ng l??ng, chúng có th? tr? nên t?ng ??ng ho?c phá phách.  
  
B? lông c?a Bedlington Terrier ??c bi?t c?n ch?m sóc k? l??ng. ?ây là lo?i lông xo?n và có xu h??ng m?c nhanh, nên ph?i ch?i ??u ??n 2 – 3 l?n m?i tu?n ?? tránh r?i. Ngoài ra, c?n c?t t?a lông ??nh k? ?? gi? ???c dáng ??c tr?ng c?a gi?ng chó này, ??ng th?i duy trì s? s?ch s?. V? sinh tai, r?ng và c?t móng th??ng xuyên c?ng r?t c?n thi?t.  
  
Ch? ?? dinh d??ng c?a Bedlington Terrier nên chú tr?ng ??n protein n?c ch?t l??ng cao và b? sung rau c? qu? ?? cung c?p vitamin, khoáng ch?t. Do gi?ng chó này có nguy c? m?c b?nh liên quan ??n gan, b?n c?n tránh cho ?n th?c ph?m ch?a ??ng quá nhi?u và nên duy trì kh?u ph?n ?n khoa h?c, chia ??u trong ngày.  
  
V? s?c kh?e, ngoài b?nh gan (Copper Toxicosis) ??c tr?ng, Bedlington Terrier còn d? m?c các v?n ?? v? m?t và tim. Do ?ó, b?n nên ??a chúng ?i khám thú y ??nh k?, xét nghi?m di truy?n khi mua gi?ng và theo dõi s?c kh?e sát sao ?? ??m b?o tu?i th? t?i ?a."	40 – 65 tri?u VN?	20 – 30 tri?u VN?	2500 – 4500 USD	4	4	3	2	small	0.675991515
31	Dog	border_terrier	12 n?m – 15 n?m	5 – 7 kg	33 – 40 cm	45 – 55 cm	"Border Terrier là gi?ng chó s?c nh? g?n, nhanh nh?n, có ngu?n g?c t? vùng biên gi?i Anh – Scotland. Chúng n?i b?t v?i b?n tính d?ng c?m, lanh l?i và r?t thân thi?n v?i gia ?ình, ??c bi?t là tr? em. Tuy có g?c là chó s?n cáo nh?ng Border Terrier khá hi?n, d? hu?n luy?n và th??ng s?ng hòa thu?n v?i các v?t nuôi khác n?u ???c xã h?i hóa s?m.  
  
Gi?ng chó này c?n ???c v?n ??ng ??u ??n ?? duy trì th? ch?t kh?e m?nh. Các ho?t ??ng nh? ?i d?o h?ng ngày, ch?y nh?y trong sân v??n ho?c tham gia trò ch?i ?òi h?i s? nhanh nh?n ??u r?t phù h?p. Chúng thông minh và thích h?p v?i nh?ng bài t?p hu?n luy?n ng?n, ?a d?ng ?? tránh s? nhàm chán.  
  
B? lông c?a Border Terrier thu?c lo?i lông kép: bên ngoài thô c?ng, bên trong m?m m?n, giúp ch?ng ch?u th?i ti?t t?t. Vi?c ch?m sóc lông không quá ph?c t?p, ch? c?n ch?i 1 – 2 l?n/tu?n và t?m khi c?n thi?t. Tuy nhiên, nên “hand-stripping” (nh? lông ch?t b?ng tay) vài l?n m?i n?m ?? gi? b? lông kh?e m?nh và ??p t? nhiên.  
  
Ch? ?? dinh d??ng c?a Border Terrier c?n cân b?ng, t?p trung vào protein n?c, ch?t béo lành m?nh cùng rau c? b? sung vitamin và ch?t x?. Do có xu h??ng d? b? béo phì n?u ít v?n ??ng, b?n c?n ki?m soát kh?u ph?n ?n và h?n ch? ?? ?n v?t.  
  
V? s?c kh?e, Border Terrier nhìn chung kh?e m?nh, nh?ng có th? g?p m?t s? b?nh di truy?n nh? b?nh tim, v?n ?? v? kh?p và ch?ng co gi?t. Khám thú y ??nh k? và theo dõi cân n?ng là cách t?t nh?t ?? duy trì tu?i th? và s?c kh?e lâu dài cho chúng."	35 – 55 tri?u VN?	15 – 25 tri?u VN?	2000 – 4000 USD	4	4	3	2	small	0.586542908
32	Dog	kerry_blue_terrier	12 n?m – 15 n?m	15 – 18 kg	44 – 49 cm	55 – 65 cm	"Kerry Blue Terrier là gi?ng chó có ngu?n g?c t? Ireland, n?i b?t v?i b? lông xo?n m?m m??t màu xanh lam ??c ?áo khi tr??ng thành. Chúng thông minh, lanh l?i, trung thành và có tính cách m?nh m?, t?ng ???c s? d?ng trong s?n b?n, canh gác và ch?n gia súc. Dù mang dòng máu chó s?n, Kerry Blue c?ng r?t tình c?m và g?n bó v?i gia ?ình, th??ng tr? thành ng??i b?n ??ng hành ?áng tin c?y.  
  
Gi?ng chó này có nhu c?u v?n ??ng cao, c?n ???c ?i d?o dài ho?c tham gia các ho?t ??ng ngoài tr?i m?i ngày. Chúng thích ch?y nh?y, ch?i ?ùa và c?ng r?t gi?i trong các môn th? thao cho chó nh? agility ho?c obedience. N?u không ???c v?n ??ng ??, Kerry Blue d? tr? nên bu?n chán và phá phách.  
  
B? lông c?a Kerry Blue Terrier m?m, xo?n và không r?ng nhi?u, phù h?p v?i ng??i b? d? ?ng. Tuy nhiên, lông c?a chúng m?c liên t?c nên c?n ch?i ??u ??n 2 – 3 l?n/tu?n ?? tránh r?i và c?t t?a chuyên nghi?p m?i 6 – 8 tu?n ?? gi? dáng ??p. Ngoài ra, v? sinh tai, r?ng và c?t móng th??ng xuyên c?ng r?t quan tr?ng ?? duy trì s?c kh?e t?ng th?.  
  
Ch? ?? dinh d??ng nên giàu protein ch?t l??ng cao t? th?t n?c, cá, tr?ng, k?t h?p v?i rau c? qu? ?? cung c?p vitamin và khoáng ch?t. B?n nên chia nh? kh?u ph?n ?n và tránh cho ?n nhi?u tinh b?t ho?c ?? ?n d?u m?, vì chúng d? b? th?a cân.  
  
V? s?c kh?e, Kerry Blue Terrier nhìn chung khá kh?e m?nh nh?ng có nguy c? m?c các b?nh di truy?n nh? lo?n s?n x??ng hông, ??c th?y tinh th? và b?nh da. Vi?c ki?m tra s?c kh?e ??nh k? và xét nghi?m di truy?n khi mua gi?ng là r?t c?n thi?t ?? ??m b?o chúng có cu?c s?ng kh?e m?nh và lâu dài."	50 – 80 tri?u VN?	25 – 40 tri?u VN?	2500 – 5000 USD	4	4	4	3	medium	0.906338087
33	Dog	irish_terrier	13 n?m – 15 n?m	11 – 13 kg	43 – 48 cm	50 – 60 cm	"Irish Terrier là m?t trong nh?ng gi?ng chó s?c c? x?a nh?t, có ngu?n g?c t? Ireland. Chúng n?i b?t v?i b? lông ?? ??c tr?ng cùng tính cách gan d?, thông minh và trung thành. Dù t?ng ???c nuôi ?? s?n b?t và canh gác, Irish Terrier c?ng r?t tình c?m, g?n bó v?i ch? và th??ng t? ra b?o v? gia ?ình. Chúng d?ng c?m nh?ng không quá hung hãn, phù h?p làm thú c?ng trong nhà n?u ???c hu?n luy?n và xã h?i hóa s?m.  
  
Gi?ng chó này c?n nhi?u v?n ??ng h?ng ngày ?? duy trì s? kh?e m?nh và tinh th?n s?ng khoái. Nh?ng bu?i ?i d?o dài, ch?y t? do trong sân v??n ho?c tham gia trò ch?i t??ng tác ??u r?t c?n thi?t. Ngoài ra, Irish Terrier thông minh và thích h?p v?i các bài hu?n luy?n obedience, agility, v?a giúp rèn luy?n c? th? v?a phát tri?n kh? n?ng t? duy.  
  
B? lông c?a Irish Terrier thu?c lo?i lông kép v?i l?p ngoài c?ng, th?ng và thô, giúp ch?ng ch?u th?i ti?t t?t. Vi?c ch?m sóc lông khá ??n gi?n: ch? c?n ch?i 1 – 2 l?n/tu?n và “hand-stripping” (nh? lông ch?t b?ng tay) vài l?n m?i n?m ?? duy trì ?? bóng m??t và kh?e m?nh. T?m ??nh k?, v? sinh tai và r?ng, c?ng nh? c?t móng th??ng xuyên s? giúp gi? v? sinh t?ng th?.  
  
Dinh d??ng c?a Irish Terrier c?n giàu protein t? th?t n?c, cá, tr?ng, k?t h?p rau c? và ng? c?c nguyên h?t ?? b? sung n?ng l??ng, vitamin và khoáng ch?t. Chúng d? thích nghi v?i nhi?u ch? ?? ?n nh?ng nên tránh ?? ?n nhi?u d?u m? ho?c th?c ?n th?a c?a con ng??i.  
  
V? s?c kh?e, Irish Terrier nhìn chung khá kh?e m?nh, ít g?p b?nh di truy?n nghiêm tr?ng. Tuy nhiên, chúng có th? m?c m?t s? v?n ?? v? da, d? ?ng ho?c lo?n s?n x??ng hông. Vi?c ??a ?i khám thú y ??nh k? và theo dõi tình tr?ng c? th? là cách t?t nh?t ?? kéo dài tu?i th? c?a chúng."	40 – 70 tri?u VN?	20 – 35 tri?u VN?	2000 – 4500 USD	4	3	3	3	small	0.787919249
34	Dog	norfolk_terrier	12 n?m – 15 n?m	5 – 6 kg	23 – 26 cm	30 – 35 cm	"Norfolk Terrier có ngu?n g?c t? Anh, là m?t trong nh?ng gi?ng chó s?c nh? nh?t nh?ng l?i vô cùng d?ng c?m, nhanh nh?n và tràn ??y n?ng l??ng. Chúng n?i b?t v?i ?ôi tai c?p ??c tr?ng (khác v?i Norwich Terrier tai d?ng), cùng tính cách thân thi?n, tình c?m và d? hòa nh?p v?i gia ?ình. Dù nh? bé, Norfolk Terrier v?n gi? b?n n?ng s?n m?i m?nh m? và thích khám phá môi tr??ng xung quanh.  
  
Gi?ng chó này c?n ???c v?n ??ng th??ng xuyên v?i các bu?i ?i d?o h?ng ngày và th?i gian ch?y nh?y trong sân v??n có rào ch?n. Chúng r?t thích tham gia các trò ch?i nh? ném bóng, kéo co ho?c agility, v?a giúp tiêu hao n?ng l??ng v?a g?n k?t v?i ch?. N?u b? b? m?c ho?c không ???c gi?i phóng n?ng l??ng, chúng có th? tr? nên b?n ch?n ho?c phá phách.  
  
B? lông c?a Norfolk Terrier là lo?i lông kép v?i l?p ngoài c?ng, th?ng và l?p lót m?m, giúp chúng ch?u ??ng ???c nhi?u ?i?u ki?n th?i ti?t. Vi?c ch?m sóc lông khá ??n gi?n, ch? c?n ch?i 1 – 2 l?n/tu?n và “hand-stripping” vài l?n m?i n?m ?? lo?i b? lông ch?t, gi? cho b? lông g?n gàng và kh?e m?nh. Ngoài ra, nên v? sinh tai, r?ng và c?t móng ??nh k? ?? tránh các v?n ?? v? v? sinh.  
  
Ch? ?? ?n u?ng c?n cân ??i, giàu protein n?c t? th?t, cá, tr?ng, kèm rau c? qu? và ng? c?c nguyên h?t ?? b? sung n?ng l??ng và d??ng ch?t. Norfolk Terrier d? b? t?ng cân n?u ?n quá nhi?u mà ít v?n ??ng, do ?ó b?n c?n ki?m soát kh?u ph?n ?n h?p lý và h?n ch? ?? ?n v?t.  
  
V? s?c kh?e, gi?ng chó này nhìn chung kh?e m?nh, ít m?c b?nh di truy?n nghiêm tr?ng. Tuy v?y, chúng có th? g?p các v?n ?? v? m?t, kh?p ho?c r?ng mi?ng n?u không ???c ch?m sóc ?úng cách. Khám thú y ??nh k? s? giúp theo dõi s?c kh?e và ??m b?o chúng duy trì ???c tu?i th? lâu dài."	40 – 65 tri?u VN?	18 – 30 tri?u VN?	2500 – 4500 USD	4	4	3	2	small	0.41815378
35	Dog	norwich_terrier	12 n?m – 15 n?m	5 – 6 kg	24 – 26 cm	30 – 35 cm	"Norwich Terrier, có ngu?n g?c t? Anh, là m?t trong nh?ng gi?ng chó s?c nh? nh?t nh?ng l?i c?c k? ho?t bát, thông minh và d?ng c?m. ?i?m ??c tr?ng c?a chúng là ?ôi tai d?ng ??ng (khác v?i Norfolk Terrier tai c?p). Norwich Terrier r?t thân thi?n, yêu thích s? b?u b?n và th??ng g?n bó ch?t ch? v?i gia ?ình, k? c? tr? em và các v?t nuôi khác n?u ???c xã h?i hóa s?m.  
  
Gi?ng chó này có nhu c?u v?n ??ng cao so v?i kích th??c nh? bé c?a chúng. Chúng c?n ???c ?i d?o h?ng ngày k?t h?p v?i các trò ch?i nh? ném bóng, ch?y nh?y ho?c agility ?? gi?i phóng n?ng l??ng. Norwich Terrier nhanh nh?n, thông minh và h?c l?nh khá nhanh, nh?ng ?ôi khi có th? b??ng b?nh, vì v?y hu?n luy?n c?n kiên nh?n và nh?t quán.  
  
B? lông c?a Norwich Terrier thu?c lo?i lông kép: l?p ngoài c?ng, th?ng và l?p lót m?m, giúp ch?u l?nh t?t. Vi?c ch?m sóc lông t??ng ??i d? dàng, ch? c?n ch?i 1 – 2 l?n/tu?n và th?c hi?n “hand-stripping” vài l?n m?i n?m ?? gi? b? lông kh?e m?nh và g?n gàng. Ngoài ra, v? sinh tai, r?ng và c?t móng ??nh k? là c?n thi?t ?? gi? v? sinh t?ng th?.  
  
Ch? ?? dinh d??ng nên giàu protein n?c t? th?t, cá, tr?ng k?t h?p v?i rau c? và ng? c?c nguyên h?t ?? b? sung vitamin, ch?t x? và n?ng l??ng. Do Norwich Terrier khá ham ?n, b?n c?n theo dõi kh?u ph?n ?? tránh béo phì, ??c bi?t là khi ít v?n ??ng.  
  
V? s?c kh?e, Norwich Terrier nhìn chung kh?e m?nh, nh?ng có th? g?p m?t s? v?n ?? di truy?n nh? b?nh tim, tr?t x??ng bánh chè và các v?n ?? v? r?ng. Khám thú y ??nh k? và ch?m sóc s?c kh?e th??ng xuyên s? giúp chúng duy trì tu?i th? và cu?c s?ng kh?e m?nh."	40 – 65 tri?u VN?	18 – 30 tri?u VN?	2500 – 4500 USD	4	4	3	2	small	0.421478406
36	Dog	yorkshire_terrier	12 n?m – 16 n?m	2 – 3.2 kg	18 – 23 cm	22 – 28 cm	"Yorkshire Terrier, th??ng ???c g?i t?t là “Yorkie”, là m?t trong nh?ng gi?ng chó c?nh ph? bi?n nh?t trên th? gi?i, n?i b?t v?i ngo?i hình nh? nh?n, b? lông dài m??t nh? t? và tính cách lanh l?i, giàu tình c?m. Chúng trung thành, thông minh, giàu n?ng l??ng và th??ng r?t g?n bó v?i ch? nhân, ??c bi?t thích h?p làm thú c?ng trong nhà ho?c c?n h? nh?.  
  
Yorkie c?n ???c v?n ??ng v?a ph?i h?ng ngày thông qua các bu?i ?i d?o ng?n, trò ch?i trong nhà ho?c ngoài sân. Dù nh? bé, chúng r?t hi?u ??ng, thích khám phá và có th? tham gia các ho?t ??ng hu?n luy?n thông minh. N?u không ???c gi?i phóng n?ng l??ng, Yorkie có th? tr? nên d? s?a ho?c ngh?ch ng?m.  
  
B? lông c?a Yorkshire Terrier dài, m??t, óng ? và phát tri?n liên t?c gi?ng nh? tóc ng??i. Vì v?y, vi?c ch?m sóc lông ?òi h?i s? kiên nh?n: c?n ch?i lông h?ng ngày ?? tránh r?i và t?m ??nh k? ?? gi? lông m?m m??t, s?ch s?. Ngoài ra, nên c?t t?a lông g?n gàng quanh m?t, tai và bàn chân ?? duy trì s? tho?i mái cho chúng.  
  
Ch? ?? dinh d??ng c?a Yorkie c?n giàu protein ch?t l??ng cao t? th?t n?c, cá, tr?ng k?t h?p rau c? qu? và ng? c?c nguyên h?t. Do kích th??c nh? và d? dày nh?y c?m, b?n nên chia kh?u ph?n thành nhi?u b?a nh? trong ngày. ??ng th?i, h?n ch? th?c ?n d?u m? ho?c ?? ?n th?a c?a con ng??i ?? tránh các v?n ?? v? tiêu hóa.  
  
V? s?c kh?e, Yorkshire Terrier có th? g?p m?t s? b?nh di truy?n nh? tr?t x??ng bánh chè, b?nh v? r?ng mi?ng, suy khí qu?n và h? ???ng huy?t. Vi?c khám thú y ??nh k?, ch?m sóc r?ng mi?ng k? l??ng và duy trì ch? ?? ?n u?ng h?p lý s? giúp Yorkie kh?e m?nh và kéo dài tu?i th?."	30 – 60 tri?u VN?	12 – 25 tri?u VN?	2000 – 5000 USD	5	1	4	3	small	0.300295341
37	Dog	wire_haired_fox_terrier	12 n?m – 15 n?m	7 – 9 kg	36 – 39 cm	45 – 50 cm	"Wire-haired Fox Terrier là gi?ng chó s?n cáo n?i ti?ng ??n t? Anh, ???c lai t?o ?? tham gia các cu?c s?n d??i lòng ??t. Chúng n?i b?t v?i b? lông xo?n c?ng ??c tr?ng, dáng ng??i s?n ch?c, nh? g?n và ?ôi m?t sáng tinh anh. V?i tính cách m?nh m?, ho?t bát, thông minh và ?ôi khi b??ng b?nh, gi?ng chó này r?t phù h?p v?i nh?ng ng??i ch? n?ng ??ng, yêu thích v?n ??ng ngoài tr?i.  
  
Gi?ng chó này c?n ???c v?n ??ng hàng ngày ?? tiêu hao n?ng l??ng d?i dào. Các bu?i ?i d?o dài, ch?y b?, trò ch?i ném bóng ho?c các ho?t ??ng hu?n luy?n thông minh ??u r?t c?n thi?t. N?u b? nh?t trong nhà quá lâu, chúng có th? tr? nên ngh?ch ng?m ho?c phá phách. Vi?c hu?n luy?n nên b?t ??u t? s?m, kiên nh?n và áp d?ng ph??ng pháp tích c?c, b?i Wire-haired Fox Terrier khá ??c l?p và ?ôi khi c?ng ??u.  
  
B? lông xo?n c?ng c?n ???c ch?i th??ng xuyên ?? lo?i b? lông r?ng và b?i b?n. Ngoài ra, ??nh k? t?a lông (hand-stripping ho?c grooming chuyên nghi?p) s? giúp gi? ???c k?t c?u lông kh?e và g?n gàng. V? sinh tai, c?t móng và ch?m sóc r?ng mi?ng th??ng xuyên c?ng r?t quan tr?ng ?? phòng ng?a b?nh t?t.  
  
Ch? ?? dinh d??ng c?a Wire-haired Fox Terrier c?n cân b?ng v?i protein ch?t l??ng cao t? th?t n?c, cá, k?t h?p cùng rau c? qu? và ng? c?c nguyên h?t. Do chúng là gi?ng chó ho?t ??ng nhi?u, c?n b? sung ?? n?ng l??ng nh?ng tránh cho ?n quá nhi?u ?? h?n ch? béo phì.  
  
V? s?c kh?e, Wire-haired Fox Terrier nhìn chung kh?e m?nh, nh?ng có th? g?p các b?nh di truy?n nh? lo?n s?n x??ng hông, b?nh v? da ho?c các v?n ?? v? r?ng mi?ng. Khám thú y ??nh k? và duy trì l?i s?ng n?ng ??ng s? giúp chúng kh?e m?nh, vui t??i và s?ng lâu bên gia ?ình."	20 – 40 tri?u VN?	8 – 15 tri?u VN?	1500 – 4000 USD	3	1	3	3	small	0.621637246
38	Dog	lakeland_terrier	12 n?m – 15 n?m	7 – 8 kg	35 – 37 cm	45 – 50 cm	"Lakeland Terrier có ngu?n g?c t? vùng h? Lake District, Anh Qu?c, ???c lai t?o ?? s?n cáo và các loài ??ng v?t g?m nh?m nh?. Chúng có ngo?i hình nh? g?n, c? th? s?n ch?c, ?ôi tai c?p hình ch? V và b? lông dày c?ng v?i nhi?u màu s?c khác nhau. Tính cách n?i b?t c?a gi?ng chó này là d?ng c?m, lanh l?i, ??c l?p nh?ng c?ng r?t tình c?m và g?n bó v?i ch?.  
  
Gi?ng chó này tràn ??y n?ng l??ng, vì v?y c?n ???c v?n ??ng hàng ngày thông qua các ho?t ??ng nh? ?i d?o dài, ch?y nh?y ngoài tr?i, ch?i ?ùa ho?c tham gia hu?n luy?n agility. N?u không ???c gi?i phóng n?ng l??ng, chúng d? tr? nên b?n ch?n và có th? ngh?ch phá. Lakeland Terrier c?ng r?t thông minh, do ?ó hu?n luy?n nên b?t ??u s?m, s? d?ng ph??ng pháp kiên nh?n và tích c?c ?? ki?m soát s? b??ng b?nh v?n có.  
  
B? lông c?a Lakeland Terrier c?n ???c ch?i th??ng xuyên ?? tránh r?i và lo?i b? lông ch?t. Ngoài ra, ??nh k? t?a lông (hand-stripping) s? giúp gi? k?t c?u lông c?ng, ch?c và kh?e m?nh. Vi?c ch?m sóc lông c?ng ?i kèm v?i v? sinh tai, c?t móng và ch?i r?ng ?? ng?n ng?a b?nh nha chu – m?t b?nh th??ng g?p ? các gi?ng chó nh?.  
  
V? ch? ?? ?n u?ng, Lakeland Terrier c?n ???c cung c?p th?c ?n giàu protein ch?t l??ng cao (th?t n?c, cá, tr?ng) k?t h?p v?i rau c? qu? và tinh b?t nguyên h?t. Chia kh?u ph?n h?p lý và tránh ?? ?n d?u m? ho?c th?c ?n th?a t? con ng??i ?? ??m b?o h? tiêu hóa kh?e m?nh.  
  
Lakeland Terrier là gi?ng chó kh?e m?nh nh?ng có th? m?c m?t s? v?n ?? di truy?n nh? lo?n s?n x??ng hông, b?nh v? m?t (??c th?y tinh th?) ho?c d? ?ng da. Vi?c khám thú y ??nh k?, duy trì ch? ?? dinh d??ng h?p lý và v?n ??ng ??y ?? s? giúp chúng s?ng lâu, kh?e m?nh và h?nh phúc bên gia ?ình."	20 – 40 tri?u VN?	10 – 18 tri?u VN?	2000 – 4500 USD	4	4	3	3	small	0.601742205
