STT,type,tên giống loài,tuổi thọ trung bình,cân nặng trung bình,chiều cao trung bình,chiều dài trung bình,cách chăm,giá có giấy tờ,giá không giấy tờ,giá quốc tế,score_energy,score_space,score_grooming,score_kid_friendly,score_size,size_index
104,Dog,newfoundland,8 năm – 10 năm,45 – 68 kg,63 – 74 cm,95 – 115 cm,"Newfoundland là giống chó khổng lồ có nguồn gốc từ đảo Newfoundland (Canada), được lai tạo từ các giống chó bản địa với chó châu Âu. Ban đầu, chúng được nuôi để kéo lưới, vận chuyển hàng nặng, cứu hộ trên biển nhờ sức mạnh, bơi giỏi và tính kiên cường.  
  
Ngoại hình: cao 66 – 74 cm, nặng 50 – 70 kg (có cá thể tới 80 kg). Thân hình to lớn, cơ bắp khỏe mạnh, bộ lông dày hai lớp, chống nước, thường có màu đen tuyền, nâu, xám hoặc đen – trắng (Landseer). Bàn chân có màng bơi – giúp bơi lội tuyệt vời.  
  
Tính cách: Newfoundland nổi tiếng hiền lành, điềm tĩnh, kiên nhẫn và rất tình cảm – thường được gọi là “người khổng lồ hiền lành”. Chúng yêu trẻ em, trung thành và thân thiện, hiếm khi hung dữ.  
  
Giống chó này cần vận động thường xuyên: đi bộ dài, bơi lội, chạy nhẹ để duy trì sức khỏe. Chúng không quá hiếu động, nhưng dễ béo phì nếu ít vận động. Không phù hợp nuôi trong căn hộ chật hẹp – cần không gian rộng rãi, sân vườn hoặc môi trường gần sông hồ.  
  
Bộ lông dày cần chải 2 – 3 lần/tuần và hằng ngày vào mùa rụng lông để tránh rối. Do lông chống nước nên tắm không cần thường xuyên, nhưng cần vệ sinh tai, răng và cắt móng định kỳ.  
  
Chế độ dinh dưỡng: khẩu phần ăn phải giàu protein, canxi và chất béo tốt, cung cấp đủ năng lượng cho cơ thể lớn. Nên chia thành nhiều bữa nhỏ để phòng ngừa xoắn dạ dày – bệnh nguy hiểm thường gặp ở chó khổng lồ.  
  
Về sức khỏe, Newfoundland có nguy cơ mắc loạn sản hông, bệnh tim (đặc biệt là hẹp van động mạch chủ), xoắn dạ dày và béo phì. Khám thú y định kỳ, vận động hợp lý và dinh dưỡng cân bằng giúp kéo dài tuổi thọ.  
  
Newfoundland phù hợp với gia đình có không gian rộng, yêu thích chó khổng lồ hiền lành, đặc biệt là những ai thích các hoạt động bơi lội ngoài trời.",45 – 70 triệu VNĐ,20 – 35 triệu VNĐ,2.000 – 4.000 USD,3,5,4,5,large,2.0486267440761066
105,Dog,great_pyrenees,10 năm – 12 năm,45 – 60 kg,65 – 81 cm,95 – 115 cm,"Great Pyrenees có nguồn gốc từ dãy núi Pyrenees (giáp Pháp – Tây Ban Nha). Ban đầu, chúng được nuôi để bảo vệ đàn gia súc khỏi sói, gấu và kẻ săn mồi. Vì thế chúng có sức mạnh, lòng dũng cảm, cùng bản năng canh gác bẩm sinh.  
  
Ngoại hình: cao 65 – 82 cm, nặng 40 – 55 kg (có thể tới 70 kg). Thân hình to lớn, khỏe mạnh, cân đối. Bộ lông dài, dày hai lớp, có khả năng chống lạnh tốt. Màu lông chủ yếu trắng tinh khiết, đôi khi có vệt xám, vàng nhạt hoặc đỏ gỉ.  
  
Tính cách: Great Pyrenees điềm tĩnh, kiên nhẫn, cực kỳ trung thành và tình cảm với gia đình. Tuy nhiên, do bản năng bảo vệ nên chúng cảnh giác với người lạ, thường sủa báo động khi thấy nguy hiểm. Chúng cũng khá độc lập, đôi khi cứng đầu – đòi hỏi người nuôi có kinh nghiệm huấn luyện.  
  
Vận động: cần không gian rộng (sân vườn, nông trại), thích hợp với những gia đình ở vùng ngoại ô hoặc nông thôn hơn là căn hộ. Cần đi bộ dài hoặc chạy hàng ngày để duy trì sức khỏe, nhưng không quá hiếu động.  
  
Chăm sóc lông: bộ lông dài, dày cần chải ít nhất 2 – 3 lần/tuần để tránh rối và rụng. Vào mùa thay lông (xuân – thu) nên chải hằng ngày. Vì lông tự nhiên chống bẩn nên không cần tắm quá thường xuyên, chỉ khi thực sự cần.  
  
Dinh dưỡng: khẩu phần ăn giàu protein, canxi và vitamin để hỗ trợ xương khớp, tránh loãng xương. Chia khẩu phần thành nhiều bữa nhỏ để giảm nguy cơ xoắn dạ dày.  
  
Sức khỏe: dễ gặp loạn sản hông, loạn sản khuỷu, bệnh xương khớp, béo phì và xoắn dạ dày. Tuổi thọ trung bình cao hơn một số giống chó khổng lồ khác (so với Newfoundland hay Saint Bernard).  
  
Great Pyrenees phù hợp với người yêu thích giống chó khổng lồ thông minh, canh gác giỏi, bảo vệ gia đình, nhưng cần kiên nhẫn trong huấn luyện và có đủ không gian sống cho chúng.",40 – 70 triệu VNĐ,15 – 25 triệu VNĐ,1.800 – 3.500 USD,3,5,4,4,large,1.999179080346018
106,Dog,samoyed,12 năm – 14 năm,16 – 30 kg,48 – 60 cm,70 – 85 cm,"Samoyed có nguồn gốc từ Siberia (Nga), được người Samoyede nuôi để kéo xe trượt tuyết, chăn tuần lộc và giữ ấm cho chủ trong đêm giá lạnh. Giống chó này nổi bật với bộ lông trắng tuyết dày, hai lớp cùng gương mặt luôn tươi cười – được gọi là “Samoyed Smile”.  
  
Ngoại hình: chiều cao 48 – 60 cm, cân nặng 16 – 30 kg. Thân hình săn chắc, bộ lông xù trắng muốt, đôi tai tam giác dựng đứng và đuôi cong phủ lông dày.  
  
Tính cách: Samoyed rất thân thiện, hòa đồng, trung thành và giàu tình cảm. Chúng thích ở gần con người, hòa đồng với trẻ em và các loài vật khác. Tuy nhiên, chúng thường sủa nhiều để báo hiệu hoặc khi buồn chán, và có tính ương bướng nếu không được huấn luyện từ sớm.  
  
Vận động: đây là giống chó kéo xe nên cần vận động ít nhất 1 – 2 giờ/ngày (đi bộ, chạy, chơi trò ném bắt, kéo xe nhỏ). Nếu thiếu vận động, Samoyed có thể tăng động, cắn phá đồ đạc.  
  
Chăm sóc lông: bộ lông dày, trắng tuyết cần chải 3 – 4 lần/tuần để tránh rối và giữ độ xù mượt. Vào mùa thay lông (xuân – thu) cần chải hằng ngày. Vì lông Samoyed có khả năng chống bẩn, chỉ cần tắm 1 – 2 tháng/lần, nhưng phải vệ sinh kỹ răng, tai, mắt và cắt móng thường xuyên.  
  
Dinh dưỡng: khẩu phần ăn nên giàu protein, vitamin và omega-3 để giữ lông mượt và chắc khỏe. Hạn chế tinh bột, đồ nhiều dầu mỡ để tránh béo phì.  
  
Sức khỏe: nhìn chung khỏe mạnh, nhưng dễ mắc các bệnh loạn sản hông, bệnh tim, tiểu đường và các vấn đề về mắt. Khám thú y định kỳ và chế độ sống lành mạnh sẽ giúp chúng duy trì sức khỏe tốt.  
  
Samoyed là giống chó lý tưởng cho gia đình muốn nuôi một chú chó thân thiện, dễ thương, vừa làm bạn vừa giữ nhà, nhưng cần kiên nhẫn trong việc chăm sóc lông và đáp ứng nhu cầu vận động lớn của chúng.",20 – 40 triệu VNĐ,10 – 18 triệu VNĐ,2.000 – 4.000 USD,5,4,5,5,large,1.1638595278287052
107,Dog,pomeranian,12 năm – 16 năm,1.8 – 3.5 kg,18 – 22 cm,20 – 25 cm,"Pomeranian là giống chó cảnh nổi tiếng có nguồn gốc từ vùng Pomerania (giáp Đức – Ba Lan). Với ngoại hình nhỏ nhắn, bộ lông xù bồng bềnh như quả bông và gương mặt dễ thương, Pom được mệnh danh là “hoàng tử – công chúa chó cảnh”.  
  
Ngoại hình: chiều cao 18 – 25 cm, cân nặng 2 – 4 kg. Bộ lông kép dày với lớp lông tơ bên trong và lớp lông dài, xù bên ngoài. Màu lông đa dạng: trắng, cam, nâu, đen, kem, sable…  
  
Tính cách: Pom thông minh, lanh lợi, tinh nghịch và rất trung thành với chủ. Tuy thân hình nhỏ bé nhưng chúng khá dạn dĩ, thích được chú ý và dễ gắn bó với con người. Tuy nhiên, Pomeranian cũng dễ “sủa nhiều” để thu hút sự chú ý hoặc cảnh báo.  
  
Vận động: tuy nhỏ bé nhưng Pom rất hiếu động. Cần cho đi dạo 20 – 30 phút/ngày, kết hợp các trò chơi trong nhà. Nếu không được vận động, chúng có thể dễ bị stress hoặc tăng động.  
  
Chăm sóc lông: bộ lông dày xù cần chải 3 – 4 lần/tuần, vào mùa rụng lông (xuân – thu) cần chải hàng ngày để tránh rối. Tắm 1 lần/2 – 4 tuần, sau đó sấy khô kỹ để tránh nấm da. Vệ sinh mắt, tai, răng và cắt móng đều đặn.  
  
Dinh dưỡng: Pom có dạ dày nhỏ nên nên chia khẩu phần ăn thành 3 – 4 bữa nhỏ/ngày. Cần cung cấp protein từ thịt gà, cá, trứng, kết hợp rau củ và ngũ cốc nguyên hạt. Tránh đồ ăn quá ngọt, nhiều dầu mỡ vì dễ gây béo phì và bệnh về răng.  
  
Sức khỏe: Pomeranian nhìn chung khỏe mạnh, nhưng có thể gặp các bệnh trật xương bánh chè, xẹp khí quản, vấn đề răng miệng và bệnh tim. Khám thú y định kỳ và chế độ dinh dưỡng cân đối sẽ giúp Pom duy trì sức khỏe tốt.  
  
Pomeranian là lựa chọn lý tưởng cho những ai thích nuôi chó cảnh nhỏ xinh, đáng yêu, giàu tình cảm, phù hợp sống trong căn hộ hoặc nhà nhỏ, miễn là được chăm sóc và yêu thương đúng cách.",15 – 30 triệu VNĐ,6 – 12 triệu VNĐ,2.000 – 5.000 USD,3,1,5,3,small,0.2867232681716669
108,Dog,chow,9 năm – 15 năm,20 – 32 kg,43 – 56 cm,65 – 80 cm,"Chow Chow là giống chó cổ xưa có nguồn gốc từ Trung Quốc, nổi bật với ngoại hình bờm xù như sư tử và chiếc lưỡi xanh – đen đặc trưng. Đây là giống chó vừa làm bạn, vừa có khả năng canh gác tốt.  
  
Ngoại hình: chiều cao 43 – 56 cm, cân nặng 20 – 32 kg. Thân hình rắn chắc, đôi mắt sâu, mũi đen, đuôi cuộn trên lưng. Bộ lông có hai loại: lông dài xù hoặc lông ngắn mượt, phổ biến nhất là màu vàng kem, đỏ, đen, xanh xám hoặc trắng.  
  
Tính cách: Chow Chow khá độc lập, điềm tĩnh, trung thành nhưng có phần lạnh lùng. Chúng gắn bó mạnh mẽ với một người chủ duy nhất, ít khi quá thân thiện với người lạ. Vì bản tính kiêu hãnh, Chow Chow đôi khi ương bướng và khó huấn luyện nếu không được dạy từ nhỏ.  
  
Vận động: giống chó này không quá hiếu động, chỉ cần đi dạo khoảng 30 – 60 phút/ngày. Chúng thích hợp sống trong căn hộ hoặc nhà có sân vườn nhỏ, miễn là được cho vận động vừa đủ.  
  
Chăm sóc lông: bộ lông dày, đặc biệt là giống lông dài, cần chải 3 – 4 lần/tuần để tránh rối và loại bỏ lông rụng. Vào mùa thay lông nên chải hằng ngày. Tắm khoảng 1 lần/tháng, chú ý sấy khô để tránh nấm da.  
  
Dinh dưỡng: Chow Chow dễ bị béo phì, vì vậy chế độ ăn nên cân đối, giàu protein nạc (thịt gà, cá), rau củ, hạt dinh dưỡng, hạn chế tinh bột và thức ăn dầu mỡ. Nên chia khẩu phần hợp lý theo cân nặng và độ tuổi.  
  
Sức khỏe: giống chó này có nguy cơ mắc loạn sản hông, các bệnh về mắt (entropion, đục thủy tinh thể), bệnh da và vấn đề về hô hấp do cấu trúc mặt ngắn. Khám thú y định kỳ và kiểm soát cân nặng là rất quan trọng.  
  
Chow Chow là giống chó phù hợp với người kiên nhẫn, có kinh nghiệm nuôi chó, yêu thích sự sang trọng và độc lập, sẵn sàng dành thời gian chăm sóc lông cũng như huấn luyện để phát huy hết vẻ đẹp và tính cách của chúng.",30 – 50 triệu VNĐ,15 – 25 triệu VNĐ,2.500 – 5.000 USD,3,3,4,2,large,1.1709857406468531
109,Dog,keeshond,12 năm – 15 năm,16 – 20 kg,43 – 48 cm,60 – 70 cm,"Keeshond là giống chó có nguồn gốc từ Hà Lan, thuộc nhóm chó Spitz, nổi bật với bộ lông dày bông xù màu xám khói pha đen, gương mặt luôn như đang cười và đôi mắt to viền đen sắc sảo – được mệnh danh là “Chó cười Hà Lan”.  
  
Ngoại hình: chiều cao 43 – 46 cm, cân nặng 15 – 20 kg. Bộ lông kép: lớp lông tơ dày bên trong giữ ấm và lớp lông ngoài dài, xù, chống nước. Đuôi cong phủ lông dày cuộn tròn trên lưng.  
  
Tính cách: Keeshond rất thân thiện, tình cảm, trung thành và hòa đồng. Chúng thích sống cùng gia đình, gần gũi trẻ em, hiếm khi hung dữ. Là giống chó canh nhà tốt vì thường cảnh báo bằng tiếng sủa khi có người lạ.  
  
Vận động: đây là giống chó năng động vừa phải, chỉ cần đi dạo 30 – 60 phút/ngày và chơi đùa trong sân hoặc nhà. Chúng không đòi hỏi vận động quá nhiều nên phù hợp với gia đình sống ở thành phố, căn hộ hoặc nhà nhỏ.  
  
Chăm sóc lông: bộ lông dày cần chải 2 – 3 lần/tuần, vào mùa thay lông (xuân – thu) nên chải hằng ngày. Tắm 1 lần/tháng, không nên tắm quá thường xuyên vì dễ khô da. Cần vệ sinh mắt, tai, răng và cắt móng đều đặn.  
  
Dinh dưỡng: chế độ ăn nên giàu protein (thịt gà, bò, cá), rau củ, hạt dinh dưỡng và omega-3 để duy trì lông bóng mượt. Hạn chế tinh bột và thức ăn nhiều dầu mỡ để tránh béo phì.  
  
Sức khỏe: nhìn chung khỏe mạnh, tuổi thọ cao, nhưng có thể gặp một số vấn đề như loạn sản hông, động kinh, suy giáp và bệnh về mắt. Khám thú y định kỳ và duy trì cân nặng hợp lý giúp chúng sống khỏe mạnh, hạnh phúc.  
  
Keeshond là lựa chọn tuyệt vời cho gia đình muốn nuôi một chú chó thân thiện, dễ nuôi, ít đòi hỏi vận động, vừa làm bạn vừa giữ nhà tốt.",35 – 60 triệu VNĐ,18 – 30 triệu VNĐ,2.500 – 4.500 USD,3,3,5,5,medium,0.9519314479296128
110,Dog,brabancon_griffon,12 năm – 15 năm,3 – 6 kg,18 – 20 cm,20 – 25 cm,"Brabançon Griffon là giống chó nhỏ có nguồn gốc từ Bỉ, cùng họ với Griffon Bruxellois và Griffon Belge. Điểm nổi bật là khuôn mặt biểu cảm như người, đôi mắt to tròn và chiếc mũi tẹt ngắn dễ thương, được nhiều gia đình yêu thích nuôi làm chó cảnh.  
  
Ngoại hình: chiều cao 18 – 28 cm, cân nặng 3 – 6 kg. Bộ lông ngắn, mượt (khác với hai họ hàng Griffon có lông dài hoặc xù). Màu lông phổ biến: đỏ, đen, đen pha nâu.  
  
Tính cách: Brabançon Griffon rất thông minh, tình cảm, trung thành và bám chủ. Chúng thích được vuốt ve, quan tâm và có xu hướng trở thành “chó cảnh trong nhà” hơn là chó giữ nhà. Tuy nhiên, chúng cũng cảnh giác và có thể sủa báo động khi có người lạ.  
  
Vận động: tuy nhỏ bé nhưng năng lượng cao, cần 20 – 40 phút vận động/ngày (đi dạo, chơi đùa trong nhà). Chúng rất thích trò ném – bắt và các hoạt động tương tác với chủ.  
  
Chăm sóc lông: bộ lông ngắn, mượt nên dễ chăm sóc, chỉ cần chải 1 – 2 lần/tuần. Tắm 2 – 4 tuần/lần, chú ý vệ sinh tai, mắt (do mắt to dễ chảy nước mắt) và răng miệng để tránh bệnh nha chu.  
  
Dinh dưỡng: nên chia thành 2 – 3 bữa nhỏ/ngày, ưu tiên thực phẩm giàu protein (thịt gà, cá, bò), bổ sung rau củ và vitamin. Tránh đồ ăn nhiều dầu mỡ, ngọt hoặc đồ ăn thừa từ con người.  
  
Sức khỏe: nhìn chung khỏe mạnh, tuổi thọ cao, nhưng có thể gặp vấn đề liên quan đến hô hấp (do mặt ngắn), răng miệng, bệnh về mắt và dễ tăng cân. Khám thú y định kỳ, duy trì cân nặng hợp lý sẽ giúp chúng sống lâu và khỏe mạnh.  
  
Brabançon Griffon là giống chó cảnh nhỏ xinh, giàu tình cảm, dễ chăm sóc, rất phù hợp với gia đình sống ở thành phố, căn hộ hoặc người thích nuôi thú cưng bám chủ.",30 – 50 triệu VNĐ,15 – 25 triệu VNĐ,2.000 – 4.000 USD,3,2,2,4,small,0.3167823163276687
111,Dog,pembroke,12 năm – 15 năm,10 – 14 kg,25 – 30 cm,55 – 65 cm,"Pembroke Welsh Corgi có nguồn gốc từ xứ Wales (Anh), nổi tiếng với thân hình thấp lùn, lưng dài, 4 chân ngắn, gương mặt dễ thương và đôi tai to dựng thẳng. Đây là giống chó được Hoàng gia Anh, đặc biệt là Nữ hoàng Elizabeth II, yêu thích trong nhiều thập kỷ.  
  
Ngoại hình: chiều cao 25 – 30 cm, cân nặng 10 – 14 kg. Điểm khác biệt với Corgi Cardigan là đuôi ngắn hoặc cụt bẩm sinh. Bộ lông dày hai lớp, màu phổ biến: đỏ – trắng, vàng kem, sable, đen – nâu – trắng.  
  
Tính cách: Corgi Pembroke rất thông minh, lanh lợi, trung thành và thân thiện. Chúng thích ở gần chủ, hòa đồng với trẻ em và dễ huấn luyện. Tuy nhiên, bản năng chăn gia súc mạnh khiến chúng đôi khi có thói quen “cắn gót chân” khi chơi.  
  
Vận động: tuy thân hình thấp bé nhưng năng lượng rất cao, cần ít nhất 1 giờ vận động/ngày (đi dạo, chạy nhảy, chơi ném bóng). Nếu không được vận động đủ, Corgi dễ bị béo phì.  
  
Chăm sóc lông: bộ lông kép cần chải 2 – 3 lần/tuần, vào mùa rụng lông (xuân – thu) nên chải hằng ngày. Tắm 1 lần/1 – 2 tháng, vệ sinh tai, mắt, răng và cắt móng định kỳ.  
  
Dinh dưỡng: khẩu phần ăn nên giàu protein (thịt gà, cá, bò), rau củ, hạt khô chất lượng cao, hạn chế tinh bột và đồ nhiều dầu mỡ. Do Corgi dễ tăng cân, cần kiểm soát khẩu phần chặt chẽ.  
  
Sức khỏe: Corgi Pembroke có thể gặp các bệnh thoái hóa đĩa đệm, loạn sản hông, béo phì và các bệnh về mắt. Khám thú y định kỳ và duy trì cân nặng hợp lý sẽ giúp chúng sống khỏe mạnh.  
  
Pembroke Welsh Corgi là giống chó lý tưởng cho gia đình muốn nuôi một chú chó thân thiện, thông minh, dễ thương và giàu tình cảm, phù hợp cả với nhà nhỏ và căn hộ.",25 – 45 triệu VNĐ,12 – 20 triệu VNĐ,2.000 – 4.000 USD,4,3,4,5,small,0.6907118398200349
112,Dog,cardigan,12 năm – 15 năm,11 – 17 kg,27 – 32 cm,60 – 70 cm,"Cardigan Welsh Corgi là giống chó cổ xưa hơn Pembroke, cũng có nguồn gốc từ xứ Wales (Anh). Điểm khác biệt rõ nhất là đuôi dài rậm lông (trái ngược với Pembroke đuôi ngắn hoặc cụt).  
  
Ngoại hình: chiều cao 25 – 33 cm, cân nặng 11 – 17 kg. Thân hình dài, chân ngắn, bộ ngực sâu, đuôi dài phủ lông dày. Bộ lông kép, dày, có nhiều màu sắc đa dạng hơn Pembroke: đỏ, sable, đen – trắng, xanh merle…  
  
Tính cách: Cardigan thông minh, độc lập và điềm tĩnh hơn Pembroke. Chúng vẫn rất trung thành, thân thiện với gia đình và trẻ em, nhưng có phần dè dặt với người lạ. Nhờ bản năng chăn gia súc, chúng cũng là chó giữ nhà tốt.  
  
Vận động: giống như Pembroke, Cardigan cần nhiều vận động – ít nhất 1 giờ/ngày. Các hoạt động phù hợp: đi dạo, chạy nhảy, chơi trò ném bóng, huấn luyện agility. Nếu không vận động đủ dễ béo phì và stress.  
  
Chăm sóc lông: bộ lông kép cần chải 2 – 3 lần/tuần, vào mùa rụng lông nên chải hằng ngày. Tắm 1 – 2 tháng/lần, vệ sinh răng, tai, mắt và cắt móng định kỳ.  
  
Dinh dưỡng: chế độ ăn giàu protein (thịt gà, bò, cá), bổ sung rau củ, hạt dinh dưỡng chất lượng cao, hạn chế tinh bột. Cần kiểm soát khẩu phần chặt chẽ vì Corgi rất dễ béo phì.  
  
Sức khỏe: Cardigan thường khỏe mạnh, nhưng dễ gặp bệnh thoái hóa đĩa đệm, loạn sản hông, béo phì và các vấn đề về mắt. Khám thú y định kỳ, kiểm soát cân nặng và cho vận động đủ là yếu tố quan trọng.  
  
Cardigan Welsh Corgi là giống chó phù hợp cho gia đình muốn nuôi một chú chó thông minh, điềm tĩnh, gắn bó nhưng có phần độc lập hơn Pembroke, thích hợp cả trong nhà nhỏ lẫn có sân vườn.",30 – 50 triệu VNĐ,15 – 25 triệu VNĐ,2.000 – 4.500 USD,4,3,4,5,small,0.7661741190368554
113,Dog,toy_poodle,12 năm – 15 năm,2 – 4 kg,24 – 28 cm,28 – 35 cm,"Toy Poodle là dòng nhỏ nhất trong 3 dòng Poodle phổ biến (Standard, Miniature, Toy), với chiều cao dưới 25 cm và cân nặng chỉ khoảng 2 – 4 kg. Chúng nổi bật với bộ lông xoăn tít, dày, mềm mịn và ít rụng, rất phù hợp cho người dễ dị ứng. Màu lông đa dạng: trắng, đen, nâu, đỏ, xám, apricot… thường được cắt tỉa tạo kiểu đẹp mắt.  
  
Tính cách: thông minh, lanh lợi, tình cảm, dễ huấn luyện và rất quấn chủ. Tuy nhiên, Toy Poodle khá nhạy cảm, nếu bị bỏ mặc lâu dễ stress và sủa nhiều.  
  
Nhu cầu vận động: mặc dù nhỏ bé nhưng năng động, cần khoảng 30 – 45 phút vận động/ngày như đi dạo, chơi đùa hoặc tập các trò huấn luyện.  
  
Chăm sóc lông: cần chải lông hằng ngày (hoặc ít nhất 3 lần/tuần) và cắt tỉa 1 – 2 tháng/lần để tránh rối, giữ dáng đẹp. Tắm 2 – 3 tuần/lần, vệ sinh mắt, tai, răng và cắt móng định kỳ.  
  
Dinh dưỡng: nên cho ăn khẩu phần giàu protein từ thịt gà, bò, cá, kết hợp rau củ quả xay nhỏ và hạt dành cho chó size toy. Tránh thức ăn nhiều dầu mỡ, tinh bột và đồ ăn thừa của con người để ngăn béo phì.  
  
Sức khỏe: dễ mắc các bệnh về răng miệng, viêm tai, trật xương bánh chè (luxating patella) và hạ đường huyết ở chó con. Khám thú y định kỳ và tiêm phòng đầy đủ giúp Toy Poodle khỏe mạnh, sống lâu bên gia đình.",15 – 25 triệu VNĐ,6 – 12 triệu VNĐ,2.000 – 4.000 USD,3,2,5,4,small,0.3740260212075591
114,Dog,miniature_poodle,12 năm – 15 năm,5 – 9 kg,28 – 35 cm,38 – 45 cm,"Miniature Poodle là dòng Poodle cỡ trung bình, đứng giữa Toy và Standard. Chúng cao khoảng 25 – 38 cm, nặng 6 – 9 kg, có thân hình cân đối, thanh thoát cùng bộ lông xoăn đặc trưng, mềm mại và ít rụng, rất phù hợp cho người bị dị ứng lông thú.  
  
Tính cách: cực kỳ thông minh (xếp hạng top 2 trong các giống chó thông minh nhất), năng động, nhanh nhẹn, dễ huấn luyện và rất trung thành. Miniature Poodle thường tình cảm, gần gũi với gia đình, hợp cả môi trường thành phố và nông thôn.  
  
Nhu cầu vận động: cần khoảng 45 – 60 phút vận động/ngày, bao gồm đi dạo, chơi trò ném bóng, huấn luyện agility hoặc bơi lội. Chúng thích các hoạt động trí tuệ nên huấn luyện bằng trò chơi giúp hạn chế sự nhàm chán.  
  
Chăm sóc lông: bộ lông xoăn dễ rối nên cần chải ít nhất 3 – 4 lần/tuần và cắt tỉa định kỳ 1 – 2 tháng/lần. Tắm 2 – 3 tuần/lần, vệ sinh tai, răng và cắt móng đều đặn. Có thể tạo nhiều kiểu lông khác nhau (Puppy cut, Continental clip, Teddy bear cut…).  
  
Dinh dưỡng: nên cho ăn khẩu phần giàu protein từ thịt nạc (gà, bò, cá), bổ sung rau củ quả, ngũ cốc nguyên hạt và hạt dinh dưỡng chất lượng cao. Tránh đồ ăn mỡ, ngọt và xương nhỏ dễ hóc.  
  
Sức khỏe: Miniature Poodle thường khỏe mạnh, nhưng có thể gặp bệnh Addison, động kinh, loạn sản xương hông, trật xương bánh chè và bệnh về mắt (đục thủy tinh thể). Khám thú y định kỳ, kết hợp chế độ dinh dưỡng và vận động hợp lý giúp chúng sống khỏe mạnh và hạnh phúc.",20 – 35 triệu VNĐ,10 – 18 triệu VNĐ,2.500 – 5.000 USD,4,3,5,4,small,0.5349244575799319
115,Dog,standard_poodle,12 năm – 14 năm,20 – 32 kg,45 – 60 cm,70 – 85 cm,"Standard Poodle là dòng lớn nhất trong 3 loại Poodle, với chiều cao trên 38 cm và cân nặng khoảng 20 – 30 kg. Chúng nổi bật với dáng vóc thanh lịch, bộ lông xoăn dày, không rụng nhiều, được xem là “biểu tượng thời trang” nhờ khả năng tạo kiểu lông đa dạng.  
  
Tính cách: thông minh, điềm tĩnh, trung thành và rất dễ huấn luyện. So với Toy và Miniature, Standard Poodle có tính cách chững chạc, ít nhõng nhẽo hơn, nhưng vẫn vô cùng tình cảm và gắn bó với chủ. Chúng đặc biệt yêu thích hoạt động ngoài trời, bơi lội và thể thao.  
  
Nhu cầu vận động: cần 1 – 2 giờ vận động/ngày. Các hoạt động lý tưởng bao gồm đi dạo đường dài, chạy bộ, bơi lội, agility hoặc chơi ném bóng. Nếu không được vận động đầy đủ, chúng dễ buồn chán và xuất hiện hành vi phá phách.  
  
Chăm sóc lông: cần chải lông ít nhất 3 – 4 lần/tuần để tránh rối, tắm 2 – 3 tuần/lần và cắt tỉa định kỳ mỗi 1 – 2 tháng. Standard Poodle thường được tạo kiểu lông “Continental Clip” hoặc “English Saddle” trong các cuộc thi dog show.  
  
Dinh dưỡng: khẩu phần ăn nên giàu protein (thịt bò, gà, cá), kết hợp rau củ quả, ngũ cốc nguyên hạt và dầu cá để duy trì cơ bắp săn chắc và bộ lông óng mượt. Chia khẩu phần thành 2 – 3 bữa/ngày, tránh thức ăn nhiều dầu mỡ hoặc xương nhỏ dễ hóc.  
  
Sức khỏe: giống chó này có thể gặp bệnh Addison, loạn sản xương hông, bệnh tuyến giáp, các vấn đề về da và tai, đục thủy tinh thể. Khám thú y định kỳ, chế độ vận động đều đặn và chăm sóc lông tốt sẽ giúp Standard Poodle sống khỏe mạnh và bền bỉ.",30 – 50 triệu VNĐ,15 – 25 triệu VNĐ,3.000 – 6.000 USD,5,4,5,5,large,1.2134126230496864
