STT,type,tên giống loài,tuổi thọ trung bình,cân nặng trung bình,chiều cao trung bình,chiều dài trung bình,cách chăm,giá có giấy tờ,giá không giấy tờ,giá quốc tế,score_energy,score_space,score_grooming,score_kid_friendly,score_size,size_index
57,Dog,labrador_retriever,10 năm – 12 năm,25 – 36 kg,54 – 62 cm,80 – 95 cm,"Labrador Retriever là giống chó săn mồi xuất xứ từ Canada, nổi bật với thân hình cân đối, khỏe mạnh và bộ lông ngắn, dày, dễ chăm sóc, thường có màu vàng, đen hoặc socola. Chúng thông minh, thân thiện, trung thành và rất hòa đồng, đặc biệt phù hợp với gia đình có trẻ em. Labrador ham học hỏi, thích vận động và tham gia các trò chơi ngoài trời, đồng thời có bản năng săn mồi và khả năng làm chó dẫn đường hoặc cứu hộ.  
  
Giống chó này cần vận động hằng ngày bằng các buổi đi dạo, chạy nhảy, bơi lội hoặc tham gia các trò chơi tìm kiếm và ném bóng. Việc vận động thường xuyên giúp Labrador duy trì sức khỏe thể chất, tinh thần minh mẫn và tránh các hành vi phá phách. Huấn luyện nên kiên nhẫn, nhất quán và sử dụng phương pháp tích cực để phát huy trí thông minh và tính cách hòa đồng của chúng.  
  
Bộ lông ngắn, dày của Labrador dễ chăm sóc, chỉ cần chải 1 – 2 lần/tuần để loại bỏ lông rụng và giữ lông sạch sẽ. Tắm định kỳ, vệ sinh tai, răng và cắt móng đều đặn cũng rất quan trọng để duy trì sức khỏe tổng thể. Kiểm tra vùng quanh mắt, tai và bàn chân giúp chó luôn gọn gàng và thoải mái.  
  
Chế độ dinh dưỡng nên giàu protein chất lượng cao từ thịt nạc, cá, trứng kết hợp rau củ quả và tinh bột nguyên hạt. Vì năng động và vận động nhiều, khẩu phần ăn nên cân đối, chia đều trong ngày và hạn chế thức ăn dầu mỡ hoặc đồ ăn thừa từ con người.  
  
Về sức khỏe, Labrador Retriever có thể gặp một số vấn đề về xương khớp, béo phì, tim mạch hoặc mắt. Khám thú y định kỳ, chăm sóc lông và vận động hợp lý sẽ giúp chúng sống khỏe mạnh, năng động và hạnh phúc bên gia đình.",40 – 70 triệu VNĐ,20 – 35 triệu VNĐ,2500 – 5000 USD,5,4,2,5,large,1.3842322216153449
58,Dog,chesapeake_bay_retriever,10 năm – 13 năm,25 – 36 kg,53 – 66 cm,80 – 95 cm,"Chesapeake Bay Retriever là giống chó săn mồi xuất xứ từ Mỹ, nổi bật với bộ lông dày, ngắn, thô và chống nước, thường có màu nâu sẫm, socola hoặc lông vàng. Chúng thông minh, trung thành, kiên định và rất gắn bó với gia đình. Đây là giống chó năng động, ham học hỏi, có bản năng săn mồi mạnh mẽ và khả năng bơi lội tuyệt vời, rất thích hợp cho các hoạt động ngoài trời và thể thao chó săn.  
  
Giống chó này cần vận động đều đặn hằng ngày bằng các buổi đi dạo, chạy nhảy, bơi lội hoặc tham gia các trò chơi tương tác ngoài trời. Việc vận động thường xuyên giúp Chesapeake Bay Retriever duy trì sức khỏe thể chất, tinh thần minh mẫn và hạn chế hành vi phá phách. Huấn luyện nên kiên nhẫn, nhất quán, sử dụng phương pháp tích cực và rõ ràng để phát huy trí thông minh và tính cách năng động của chúng.  
  
Bộ lông dày, ngắn và chống nước của Chesapeake Bay Retriever khá dễ chăm sóc, chỉ cần chải lông 1 – 2 lần/tuần để loại bỏ lông rụng và giữ lông sạch sẽ. Tắm định kỳ, vệ sinh tai, răng và cắt móng đều đặn cũng rất cần thiết để duy trì sức khỏe tổng thể. Ngoài ra, kiểm tra vùng quanh mắt, tai và bàn chân giúp chó luôn gọn gàng và thoải mái.  
  
Chế độ dinh dưỡng nên giàu protein chất lượng cao từ thịt nạc, cá, trứng, kết hợp rau củ quả và tinh bột nguyên hạt. Vì là giống chó năng động và vận động nhiều, khẩu phần ăn nên cân đối, chia đều trong ngày và hạn chế thức ăn dầu mỡ hoặc đồ ăn thừa từ con người.  
  
Về sức khỏe, Chesapeake Bay Retriever có thể gặp một số vấn đề về xương khớp, tim mạch và da. Khám thú y định kỳ, chăm sóc lông và vận động hợp lý sẽ giúp chúng sống khỏe mạnh, năng động và hạnh phúc bên gia đình.",45 – 75 triệu VNĐ,25 – 40 triệu VNĐ,2500 – 5500 USD,5,4,2,4,large,1.3942060995540766
59,Dog,german_short_haired_pointer,12 năm – 14 năm,20 – 32 kg,53 – 64 cm,75 – 90 cm,"German Shorthaired Pointer là giống chó săn xuất xứ từ Đức, nổi bật với thân hình cân đối, cơ bắp săn chắc và bộ lông ngắn, mượt, thường có màu nâu, trắng hoặc pha nâu-trắng. Chúng thông minh, nhanh nhẹn, dũng cảm và rất trung thành với gia đình. Đây là giống chó săn năng động, thích tham gia các hoạt động ngoài trời, bơi lội và thể thao chó săn.  
  
Giống chó này cần vận động hàng ngày bằng các buổi đi dạo dài, chạy nhảy, bơi lội hoặc các trò chơi tương tác. Việc vận động thường xuyên giúp GSP duy trì sức khỏe thể chất, tinh thần minh mẫn và hạn chế các hành vi phá phách. Huấn luyện nên nhất quán, kiên nhẫn và sử dụng phương pháp tích cực để phát huy trí thông minh và khả năng học hỏi nhanh nhạy của chúng.  
  
Bộ lông ngắn, mượt của GSP dễ chăm sóc, chỉ cần chải 1 – 2 lần/tuần để loại bỏ lông rụng và giữ lông sạch sẽ. Tắm định kỳ, vệ sinh tai, răng và cắt móng đều đặn cũng quan trọng để duy trì sức khỏe tổng thể. Kiểm tra mắt, tai và bàn chân giúp chó luôn thoải mái và gọn gàng.  
  
Chế độ dinh dưỡng nên giàu protein chất lượng cao từ thịt nạc, cá, trứng, kết hợp rau củ quả và tinh bột nguyên hạt. Vì là giống chó năng động, khẩu phần ăn nên cân đối, chia đều trong ngày và hạn chế thức ăn dầu mỡ hoặc đồ ăn thừa từ con người.  
  
Về sức khỏe, German Shorthaired Pointer có thể gặp các vấn đề về xương khớp, tim mạch và một số bệnh di truyền về mắt. Khám thú y định kỳ, chăm sóc lông và vận động hợp lý sẽ giúp chúng sống khỏe mạnh, năng động và hạnh phúc bên gia đình.",40 – 70 triệu VNĐ,20 – 35 triệu VNĐ,2500 – 5000 USD,5,4,1,4,large,1.2757872613299832
60,Dog,vizsla,12 năm – 14 năm,20 – 30 kg,53 – 64 cm,75 – 90 cm,"Vizsla là giống chó săn xuất xứ từ Hungary, nổi bật với thân hình săn chắc, cơ bắp linh hoạt và bộ lông ngắn, mượt, thường có màu vàng đỏ đặc trưng. Chúng thông minh, năng động, trung thành và rất gắn bó với gia đình. Vizsla là giống chó săn bản năng cao, ham học hỏi và rất thích các hoạt động ngoài trời, đặc biệt là chạy nhảy và bơi lội.  
  
Giống chó này cần vận động đều đặn mỗi ngày thông qua các buổi đi dạo dài, chạy nhảy, bơi lội hoặc các trò chơi tương tác. Việc vận động thường xuyên giúp Vizsla duy trì sức khỏe thể chất, tinh thần minh mẫn và hạn chế các hành vi phá phách. Huấn luyện nên kiên nhẫn, nhất quán và sử dụng phương pháp tích cực để phát huy trí thông minh và khả năng học hỏi nhanh nhạy của chúng.  
  
Bộ lông ngắn, mượt của Vizsla rất dễ chăm sóc, chỉ cần chải 1 – 2 lần/tuần để loại bỏ lông rụng và giữ lông sạch sẽ. Tắm định kỳ, vệ sinh tai, răng và cắt móng đều đặn giúp duy trì sức khỏe tổng thể. Kiểm tra mắt, tai và bàn chân giúp chó luôn thoải mái và gọn gàng.  
  
Chế độ dinh dưỡng nên giàu protein chất lượng cao từ thịt nạc, cá, trứng, kết hợp rau củ quả và tinh bột nguyên hạt. Vì là giống chó năng động, khẩu phần ăn nên cân đối, chia đều trong ngày và hạn chế thức ăn dầu mỡ hoặc đồ ăn thừa từ con người.  
  
Về sức khỏe, Vizsla có thể gặp một số vấn đề về xương khớp, tim mạch và bệnh di truyền về mắt. Khám thú y định kỳ, chăm sóc lông và vận động hợp lý sẽ giúp chúng sống khỏe mạnh, năng động và hạnh phúc bên gia đình.",40 – 70 triệu VNĐ,20 – 35 triệu VNĐ,2500 – 5000 USD,5,4,1,5,large,1.255944936943412
61,Dog,english_setter,10 năm – 12 năm,20 – 36 kg,58 – 69 cm,80 – 95 cm,"English Setter là giống chó săn xuất xứ từ Anh, nổi bật với thân hình cân đối, uyển chuyển và bộ lông dài, mượt, thường có màu trắng pha các đốm đen, cam hoặc nâu đỏ. Chúng thông minh, hiền lành, trung thành và rất hòa đồng, đặc biệt phù hợp với gia đình có trẻ em. English Setter ham học hỏi, thích vận động và các trò chơi ngoài trời, đồng thời có bản năng săn mồi cao.  
  
Giống chó này cần vận động hằng ngày bằng các buổi đi dạo dài, chạy nhảy, bơi lội hoặc tham gia các trò chơi tương tác. Việc vận động thường xuyên giúp English Setter duy trì sức khỏe thể chất, tinh thần minh mẫn và hạn chế các hành vi phá phách. Huấn luyện nên kiên nhẫn, nhất quán và sử dụng phương pháp tích cực để phát huy trí thông minh và bản năng săn mồi của chúng.  
  
Bộ lông dài, mượt của English Setter cần được chải 2 – 3 lần/tuần để loại bỏ lông rụng, tránh rối và giữ lông sạch sẽ. Tắm định kỳ, vệ sinh tai, răng và cắt móng đều đặn giúp duy trì sức khỏe tổng thể. Ngoài ra, kiểm tra vùng quanh mắt, tai và bàn chân sẽ giúp chó luôn gọn gàng và thoải mái.  
  
Chế độ dinh dưỡng nên giàu protein chất lượng cao từ thịt nạc, cá, trứng kết hợp rau củ quả và tinh bột nguyên hạt. Vì là giống chó năng động, khẩu phần ăn nên cân đối, chia đều trong ngày và hạn chế thức ăn dầu mỡ hoặc đồ ăn thừa từ con người.  
  
Về sức khỏe, English Setter có thể gặp một số vấn đề về xương khớp, tim mạch và mắt. Khám thú y định kỳ, chăm sóc lông và vận động hợp lý sẽ giúp chúng sống khỏe mạnh, năng động và hạnh phúc bên gia đình.",40 – 70 triệu VNĐ,20 – 35 triệu VNĐ,2500 – 5000 USD,5,4,4,5,large,1.3711972964242676
62,Dog,irish_setter,10 năm – 12 năm,27 – 32 kg,58 – 67 cm,85 – 100 cm,"Irish Setter là giống chó săn xuất xứ từ Ireland, nổi bật với bộ lông dài, mượt, đỏ rực đặc trưng và thân hình uyển chuyển, cân đối. Chúng thông minh, hiền lành, thân thiện, giàu năng lượng và trung thành với gia đình. Đây là giống chó năng động, thích vận động ngoài trời, chạy nhảy và tham gia các trò chơi tương tác, đồng thời có bản năng săn mồi cao.  
  
Giống chó này cần vận động hằng ngày bằng các buổi đi dạo dài, chạy nhảy, bơi lội hoặc tham gia các trò chơi vận động ngoài trời. Việc vận động thường xuyên giúp Irish Setter duy trì sức khỏe thể chất, tinh thần minh mẫn và hạn chế các hành vi phá phách. Huấn luyện nên kiên nhẫn, nhất quán và sử dụng phương pháp tích cực để phát huy trí thông minh và tính cách hòa đồng của chúng.  
  
Bộ lông dài, mượt của Irish Setter cần chải 2 – 3 lần/tuần để loại bỏ lông rụng, tránh rối và giữ lông sạch sẽ. Tắm định kỳ, vệ sinh tai, răng và cắt móng đều đặn giúp duy trì sức khỏe tổng thể. Kiểm tra vùng quanh mắt, tai và bàn chân sẽ giúp chó luôn gọn gàng và thoải mái.  
  
Chế độ dinh dưỡng nên giàu protein chất lượng cao từ thịt nạc, cá, trứng kết hợp rau củ quả và tinh bột nguyên hạt. Vì là giống chó năng động, khẩu phần ăn nên cân đối, chia đều trong ngày và hạn chế thức ăn dầu mỡ hoặc đồ ăn thừa từ con người.  
  
Về sức khỏe, Irish Setter có thể gặp một số vấn đề về xương khớp, tim mạch và mắt. Khám thú y định kỳ, chăm sóc lông và vận động hợp lý sẽ giúp chúng sống khỏe mạnh, năng động và hạnh phúc bên gia đình.",45 – 75 triệu VNĐ,25 – 40 triệu VNĐ,2500 – 5500 USD,5,4,4,5,large,1.4167906575703386
63,Dog,gordon_setter,10 năm – 12 năm,25 – 36 kg,58 – 69 cm,85 – 100 cm,"Gordon Setter là giống chó săn xuất xứ từ Scotland, nổi bật với bộ lông dài, mượt và màu đen pha nâu đỏ đặc trưng. Chúng thông minh, trung thành, hiền lành và rất gắn bó với gia đình. Đây là giống chó năng động, có bản năng săn mồi cao, thích các hoạt động ngoài trời như chạy nhảy, đi dạo và tham gia các trò chơi vận động.  
  
Giống chó này cần vận động đều đặn hằng ngày thông qua các buổi đi dạo dài, chạy nhảy, bơi lội hoặc trò chơi tương tác. Việc vận động thường xuyên giúp Gordon Setter duy trì sức khỏe thể chất, tinh thần minh mẫn và hạn chế các hành vi phá phách. Huấn luyện nên kiên nhẫn, nhất quán và sử dụng phương pháp tích cực để phát huy trí thông minh và khả năng học hỏi nhanh nhạy của chúng.  
  
Bộ lông dài, mượt của Gordon Setter cần chải 2 – 3 lần/tuần để loại bỏ lông rụng, tránh rối và giữ lông sạch sẽ. Tắm định kỳ, vệ sinh tai, răng và cắt móng đều đặn cũng rất cần thiết để duy trì sức khỏe tổng thể. Kiểm tra vùng quanh mắt, tai và bàn chân giúp chó luôn gọn gàng và thoải mái.  
  
Chế độ dinh dưỡng nên giàu protein chất lượng cao từ thịt nạc, cá, trứng kết hợp rau củ quả và tinh bột nguyên hạt. Vì là giống chó năng động, khẩu phần ăn nên cân đối, chia đều trong ngày và hạn chế thức ăn dầu mỡ hoặc đồ ăn thừa từ con người.  
  
Về sức khỏe, Gordon Setter có thể gặp một số vấn đề về xương khớp, tim mạch và mắt. Khám thú y định kỳ, chăm sóc lông và vận động hợp lý sẽ giúp chúng sống khỏe mạnh, năng động và hạnh phúc bên gia đình.",45 – 75 triệu VNĐ,25 – 40 triệu VNĐ,2500 – 5500 USD,5,4,4,5,large,1.4432822339160642
64,Dog,brittany_spaniel,12 năm – 14 năm,14 – 18 kg,47 – 52 cm,60 – 70 cm,"Brittany Spaniel là giống chó săn xuất xứ từ Pháp, nổi bật với thân hình săn chắc, cơ bắp linh hoạt và bộ lông ngắn đến trung bình, mượt, thường có màu trắng phối cam, nâu hoặc đốm. Chúng thông minh, thân thiện, năng động và rất trung thành với gia đình. Đây là giống chó ham học hỏi, thích tham gia các hoạt động ngoài trời như chạy nhảy, bơi lội và săn mồi.  
  
Giống chó này cần vận động hàng ngày bằng các buổi đi dạo dài, chạy nhảy, bơi lội hoặc trò chơi tương tác ngoài trời. Việc vận động thường xuyên giúp Brittany Spaniel duy trì sức khỏe thể chất, tinh thần minh mẫn và hạn chế các hành vi phá phách. Huấn luyện nên kiên nhẫn, nhất quán và sử dụng phương pháp tích cực để phát huy trí thông minh và bản năng săn mồi của chúng.  
  
Bộ lông ngắn đến trung bình, mượt của Brittany Spaniel khá dễ chăm sóc, chỉ cần chải 1 – 2 lần/tuần để loại bỏ lông rụng và giữ lông sạch sẽ. Tắm định kỳ, vệ sinh tai, răng và cắt móng đều đặn giúp duy trì sức khỏe tổng thể. Kiểm tra vùng quanh mắt, tai và bàn chân sẽ giúp chó luôn gọn gàng và thoải mái.  
  
Chế độ dinh dưỡng nên giàu protein chất lượng cao từ thịt nạc, cá, trứng, kết hợp rau củ quả và tinh bột nguyên hạt. Vì là giống chó năng động, khẩu phần ăn nên cân đối, chia đều trong ngày và hạn chế thức ăn dầu mỡ hoặc đồ ăn thừa từ con người.  
  
Về sức khỏe, Brittany Spaniel có thể gặp một số vấn đề về xương khớp, tim mạch và mắt. Khám thú y định kỳ, chăm sóc lông và vận động hợp lý sẽ giúp chúng sống khỏe mạnh, năng động và hạnh phúc bên gia đình.",40 – 70 triệu VNĐ,20 – 35 triệu VNĐ,2500 – 5000 USD,5,4,2,4,medium,0.9388438069930892
65,Dog,clumber,10 năm – 12 năm,25 – 39 kg,43 – 51 cm,75 – 90 cm,"Clumber Spaniel là giống chó săn xuất xứ từ Anh, nổi bật với thân hình to lớn, vạm vỡ, lông trắng pha vệt vàng nhạt hoặc cam nhạt và khuôn mặt tròn dễ thương. Chúng hiền lành, trung thành, điềm đạm và rất gắn bó với gia đình. Đây là giống chó săn chậm rãi nhưng bền bỉ, thích các hoạt động ngoài trời, đặc biệt là đi dạo dài và săn mồi ở các vùng đất thấp.  
  
Giống chó này cần vận động hằng ngày bằng các buổi đi dạo dài, chạy nhảy nhẹ nhàng hoặc trò chơi ngoài trời. Mặc dù Clumber Spaniel không quá nhanh nhẹn, việc vận động đều đặn giúp duy trì sức khỏe thể chất, tinh thần minh mẫn và hạn chế tình trạng thừa cân. Huấn luyện nên nhẹ nhàng, kiên nhẫn và sử dụng phương pháp tích cực để khích lệ sự hợp tác và trí thông minh của chúng.  
  
Bộ lông dày, mượt của Clumber Spaniel cần được chải 2 – 3 lần/tuần để loại bỏ lông rụng, tránh rối và giữ lông sạch sẽ. Tắm định kỳ, vệ sinh tai, răng và cắt móng đều đặn giúp duy trì sức khỏe tổng thể. Ngoài ra, cần chú ý vùng quanh mắt và tai để ngăn ngừa nhiễm trùng.  
  
Chế độ dinh dưỡng nên giàu protein chất lượng cao từ thịt nạc, cá, trứng, kết hợp rau củ quả và tinh bột nguyên hạt. Vì giống chó này dễ thừa cân, khẩu phần ăn nên cân đối, chia đều trong ngày và hạn chế thức ăn dầu mỡ hoặc đồ ăn thừa từ con người.  
  
Về sức khỏe, Clumber Spaniel có thể gặp các vấn đề về xương khớp, tim mạch, béo phì và bệnh mắt. Khám thú y định kỳ, chăm sóc lông và vận động hợp lý sẽ giúp chúng sống khỏe mạnh, điềm đạm và hạnh phúc bên gia đình.",45 – 75 triệu VNĐ,25 – 40 triệu VNĐ,2500 – 5500 USD,5,4,3,1,large,1.3183748101191313
66,Dog,english_springer,12 năm – 14 năm,18 – 25 kg,46 – 56 cm,65 – 75 cm,"English Springer Spaniel là giống chó săn xuất xứ từ Anh, nổi bật với thân hình cân đối, cơ bắp săn chắc và bộ lông dài, mượt, thường có màu trắng phối đen hoặc nâu, đôi khi có các đốm màu. Chúng thông minh, hiền lành, trung thành và rất gắn bó với gia đình, đặc biệt phù hợp với các gia đình năng động hoặc có trẻ em. Springer Spaniel ham học hỏi, năng động và thích các hoạt động ngoài trời như chạy nhảy, bơi lội và săn mồi.  
  
Giống chó này cần vận động hằng ngày bằng các buổi đi dạo dài, chạy nhảy, bơi lội hoặc các trò chơi tương tác ngoài trời. Việc vận động thường xuyên giúp English Springer Spaniel duy trì sức khỏe thể chất, tinh thần minh mẫn và hạn chế các hành vi phá phách. Huấn luyện nên kiên nhẫn, nhất quán và sử dụng phương pháp tích cực để phát huy trí thông minh và bản năng săn mồi của chúng.  
  
Bộ lông dài, mượt của Springer Spaniel cần được chải 2 – 3 lần/tuần để loại bỏ lông rụng, tránh rối và giữ lông sạch sẽ. Tắm định kỳ, vệ sinh tai, răng và cắt móng đều đặn giúp duy trì sức khỏe tổng thể. Kiểm tra vùng quanh mắt, tai và bàn chân giúp chó luôn gọn gàng và thoải mái.  
  
Chế độ dinh dưỡng nên giàu protein chất lượng cao từ thịt nạc, cá, trứng kết hợp rau củ quả và tinh bột nguyên hạt. Vì là giống chó năng động, khẩu phần ăn nên cân đối, chia đều trong ngày và hạn chế thức ăn dầu mỡ hoặc đồ ăn thừa từ con người.  
  
Về sức khỏe, English Springer Spaniel có thể gặp một số vấn đề về xương khớp, tim mạch và mắt. Khám thú y định kỳ, chăm sóc lông và vận động hợp lý sẽ giúp chúng sống khỏe mạnh, năng động và hạnh phúc bên gia đình.",40 – 70 triệu VNĐ,20 – 35 triệu VNĐ,2500 – 5000 USD,4,4,4,1,medium,1.0804295955833312
67,Dog,welsh_springer_spaniel,12 năm – 14 năm,16 – 25 kg,43 – 48 cm,60 – 70 cm,"Welsh Springer Spaniel là giống chó săn xuất xứ từ xứ Wales, nổi bật với bộ lông dài, mượt và màu đỏ – trắng đặc trưng, thân hình cân đối và cơ bắp săn chắc. Chúng thông minh, thân thiện, trung thành và rất gắn bó với gia đình. Đây là giống chó năng động, ham học hỏi và thích vận động ngoài trời, đặc biệt là chạy nhảy, bơi lội và tham gia các trò chơi săn mồi.  
  
Giống chó này cần vận động hàng ngày thông qua các buổi đi dạo dài, chạy nhảy, bơi lội hoặc các trò chơi tương tác ngoài trời. Việc vận động đều đặn giúp Welsh Springer Spaniel duy trì sức khỏe thể chất, tinh thần minh mẫn và hạn chế các hành vi phá phách. Huấn luyện nên kiên nhẫn, nhất quán và sử dụng phương pháp tích cực để phát huy trí thông minh và bản năng săn mồi của chúng.  
  
Bộ lông dài, mượt của Welsh Springer Spaniel cần được chải 2 – 3 lần/tuần để loại bỏ lông rụng, tránh rối và giữ lông sạch sẽ. Tắm định kỳ, vệ sinh tai, răng và cắt móng đều đặn giúp duy trì sức khỏe tổng thể. Kiểm tra vùng quanh mắt, tai và bàn chân giúp chó luôn gọn gàng và thoải mái.  
  
Chế độ dinh dưỡng nên giàu protein chất lượng cao từ thịt nạc, cá, trứng kết hợp rau củ quả và tinh bột nguyên hạt. Vì là giống chó năng động, khẩu phần ăn nên cân đối, chia đều trong ngày và hạn chế thức ăn dầu mỡ hoặc đồ ăn thừa từ con người.  
  
Về sức khỏe, Welsh Springer Spaniel có thể gặp một số vấn đề về xương khớp, tim mạch và mắt. Khám thú y định kỳ, chăm sóc lông và vận động hợp lý sẽ giúp chúng sống khỏe mạnh, năng động và hạnh phúc bên gia đình.",40 – 70 triệu VNĐ,20 – 35 triệu VNĐ,2500 – 5000 USD,4,4,4,2,medium,1.0015372588960405
68,Dog,cocker_spaniel,12 năm – 15 năm,12 – 16 kg,38 – 41 cm,50 – 60 cm,"Cocker Spaniel là giống chó săn xuất xứ từ Anh (English Cocker) và Mỹ (American Cocker), nổi bật với bộ lông dài, mượt và óng ả, thường có màu đen, nâu, đỏ, vàng hoặc phối màu. Chúng thông minh, hiền lành, thân thiện, giàu tình cảm và rất gắn bó với gia đình. Đây là giống chó ham học hỏi, năng động nhưng cũng thích gần gũi và được vuốt ve.  
  
Giống chó này cần vận động hằng ngày bằng các buổi đi dạo, chạy nhảy, trò chơi ngoài trời hoặc trong sân nhà. Việc vận động đều đặn giúp Cocker Spaniel duy trì sức khỏe thể chất, tinh thần minh mẫn và hạn chế các hành vi phá phách. Huấn luyện nên sử dụng phương pháp tích cực, kiên nhẫn để phát huy trí thông minh và bản tính hiền lành của chúng.  
  
Bộ lông dài, mượt của Cocker Spaniel cần chải ít nhất 2 – 3 lần/tuần để tránh rối và lông rụng, đồng thời tắm định kỳ để giữ lông sạch sẽ. Vệ sinh tai, răng miệng và cắt móng đều đặn cũng rất cần thiết vì giống chó này dễ mắc các vấn đề về tai do lông che phủ.  
  
Chế độ dinh dưỡng nên giàu protein chất lượng cao từ thịt nạc, cá, trứng, kết hợp rau củ quả và tinh bột nguyên hạt. Khẩu phần ăn nên cân đối và chia đều trong ngày, hạn chế thức ăn nhiều dầu mỡ hoặc đồ ăn thừa từ con người.  
  
Về sức khỏe, Cocker Spaniel có thể gặp các vấn đề về tai, mắt, tim mạch và béo phì. Khám thú y định kỳ, chăm sóc lông, tai và vận động hợp lý sẽ giúp chúng sống khỏe mạnh, vui vẻ và hạnh phúc bên gia đình.",35 – 65 triệu VNĐ,15 – 30 triệu VNĐ,2000 – 5000 USD,4,3,5,5,small,0.7877083855776629
69,Dog,sussex_spaniel,11 năm – 13 năm,16 – 20 kg,33 – 38 cm,55 – 65 cm,"Sussex Spaniel là giống chó săn xuất xứ từ Anh, nổi bật với thân hình chắc nịch, thấp nhưng cơ bắp, bộ lông dài, mượt và thường có màu vàng nâu hoặc đỏ. Chúng hiền lành, trung thành, dễ gần và rất gắn bó với gia đình. Đây là giống chó săn chậm rãi nhưng bền bỉ, thích các hoạt động ngoài trời như đi dạo dài, chạy nhẹ nhàng và săn mồi ở địa hình thấp.  
  
Giống chó này cần vận động hằng ngày bằng các buổi đi dạo dài, chạy nhảy nhẹ nhàng hoặc trò chơi tương tác ngoài trời. Việc vận động đều đặn giúp Sussex Spaniel duy trì sức khỏe thể chất, tinh thần minh mẫn và hạn chế các hành vi phá phách. Huấn luyện nên nhẹ nhàng, kiên nhẫn và sử dụng phương pháp tích cực để khích lệ sự hợp tác và trí thông minh của chúng.  
  
Bộ lông dài, mượt của Sussex Spaniel cần được chải 2 – 3 lần/tuần để loại bỏ lông rụng, tránh rối và giữ lông sạch sẽ. Tắm định kỳ, vệ sinh tai, răng và cắt móng đều đặn giúp duy trì sức khỏe tổng thể. Kiểm tra vùng quanh mắt, tai và bàn chân giúp chó luôn gọn gàng và thoải mái.  
  
Chế độ dinh dưỡng nên giàu protein chất lượng cao từ thịt nạc, cá, trứng, kết hợp rau củ quả và tinh bột nguyên hạt. Khẩu phần ăn nên cân đối, chia đều trong ngày và hạn chế thức ăn dầu mỡ hoặc đồ ăn thừa từ con người.  
  
Về sức khỏe, Sussex Spaniel có thể gặp một số vấn đề về xương khớp, tim mạch, béo phì và bệnh mắt. Khám thú y định kỳ, chăm sóc lông và vận động hợp lý sẽ giúp chúng sống khỏe mạnh, điềm đạm và hạnh phúc bên gia đình.",40 – 70 triệu VNĐ,20 – 35 triệu VNĐ,2500 – 5000 USD,3,3,4,5,medium,0.8629598018126978
70,Dog,irish_water_spaniel,10 năm – 12 năm,20 – 30 kg,53 – 61 cm,75 – 90 cm,"Irish Water Spaniel là giống chó săn nước xuất xứ từ Ireland, nổi bật với bộ lông xoăn đặc trưng, dày và không thấm nước, thân hình cao lớn, cơ bắp săn chắc và đuôi dài hình cây đũa. Chúng thông minh, năng động, trung thành và đặc biệt thích hợp cho các hoạt động ngoài trời liên quan đến nước như bơi lội hoặc săn chim nước. Đây là giống chó ham học hỏi, nhanh nhẹn và thích vận động liên tục.  
  
Giống chó này cần vận động hằng ngày bằng các buổi đi dạo dài, chạy nhảy, bơi lội hoặc các trò chơi tương tác ngoài trời. Việc vận động đều đặn giúp Irish Water Spaniel duy trì sức khỏe thể chất, tinh thần minh mẫn và hạn chế các hành vi phá phách. Huấn luyện nên nhất quán, nhẹ nhàng và sử dụng phương pháp tích cực để phát huy trí thông minh và bản năng săn mồi của chúng.  
  
Bộ lông xoăn đặc trưng của Irish Water Spaniel cần được chải 2 – 3 lần/tuần để loại bỏ lông rụng, tránh rối và giữ lông sạch sẽ. Tắm định kỳ, vệ sinh tai, răng và cắt móng đều đặn là điều cần thiết, đặc biệt lưu ý vùng quanh tai để tránh nhiễm trùng do lông dày và ẩm ướt.  
  
Chế độ dinh dưỡng nên giàu protein chất lượng cao từ thịt nạc, cá, trứng, kết hợp rau củ quả và tinh bột nguyên hạt. Vì là giống chó năng động và cơ bắp, khẩu phần ăn nên cân đối, chia đều trong ngày và hạn chế thức ăn nhiều dầu mỡ hoặc đồ ăn thừa từ con người.  
  
Về sức khỏe, Irish Water Spaniel có thể gặp một số vấn đề về mắt, xương khớp và da do bộ lông đặc trưng. Khám thú y định kỳ, chăm sóc lông và vận động hợp lý sẽ giúp chúng sống khỏe mạnh, năng động và hạnh phúc bên gia đình.",45 – 75 triệu VNĐ,25 – 40 triệu VNĐ,3000 – 6000 USD,5,4,4,4,large,1.2459710590046804
